Z,N,A,S,Th,uTh,mTh,E,uE,L
28,41,69,Ni,0.439,3,0.000001,148,,1578922.963
32,37,69,Ge,2.81,5,0.000001,397.95,2,246671.5945
33,37,70,As,96,3,0.000001,32.05,3,7220.283131
28,42,70,Ni,0.232,1,0.000001,183.11,2,2987703.364
34,37,71,Se,5.6,7,0.000001,48.78,5,123776.2822
29,42,71,Cu,0.271,14,0.000001,133,3,2557738.674
34,37,71,Se,19,5,0.000001,260.5,1,36481.43056
29,43,72,Cu,1.76,3,0.000001,51,,393833.6253
32,41,73,Ge,2.91,3,0.000001,13.2845,15,238194.9074
33,40,73,As,5.7,2,0.000001,360.86,2,121604.7685
33,40,73,As,5.7,2,0.000001,428.3,3,121604.7685
33,43,76,As,1.84,6,0.000001,44.425,1,376710.4242
37,39,76,Rb,3.05,7,0.000001,70.55,5,227261.3707
33,44,77,As,114,25,0.000001,211.03,4,6080.238426
33,44,77,As,114,25,0.000001,475.46,10,6080.238426
37,41,78,Rb,0.91,4,0.000001,46.8,2,761700.1984
30,48,78,Zn,0.32,1,0.000001,144.7,5,2166084.939
35,43,78,Br,119.4,10,0.000001,148.55,10,5805.252769
33,46,79,As,1.21,1,0.000001,542.27,7,572848.9096
39,41,80,Y,4.7,3,0.000001,84,,147478.1235
38,43,81,Sr,0.39,5,0.000001,79.23,4,1777300.463
35,46,81,Br,34.6,28,0.000001,260.21,9,20033.15551
31,51,82,Ga,94,9,0.000001,140.7,3,7373.906176
40,43,83,Zr,1.8,1,0.000001,24.3,5,385081.767
40,43,83,Zr,0.53,12,0.000001,52.7,5,1307824.869
35,48,83,Br,0.7,1,0.000001,303.4,4,990210.2579
36,48,84,Kr,1.83,4,0.000001,63.5,1,378768.9511
36,49,85,Kr,1.82,6,0.000001,60.2,2,380850.0992
37,48,85,Rb,1.015,1,0.000001,233,,682903.6262
37,48,85,Rb,1.015,1,0.000001,362.81,4,682903.6262
37,48,85,Rb,1.015,1,0.000001,514.0048,22,682903.6262
43,43,86,Tc,1.1,14,0.000001,81,,630133.8005
38,48,86,Sr,0.455,7,0.000001,98.68,3,1523400.397
40,48,88,Zr,1.337,25,0.000001,76.99,1,518434.69
35,53,88,Br,5.5,4,0.000001,110.9,5,126026.7601
42,48,90,Mo,1.14,5,0.000001,63.15,9,608023.8426
41,49,90,Nb,0.458,12,0.000001,71.1,2,1513421.792
41,49,90,Nb,63,2,0.000001,122.37,22,11002.3362
33,57,90,As,0.2,3,0.000001,124.5,5,3465735.903
41,49,90,Nb,0.458,12,0.000001,1067.3,2,1513421.792
41,50,91,Nb,3.76,12,0.000001,50.1,2,184347.6544
40,51,91,Zr,4.35,14,0.000001,879.2,3,159344.1794
45,47,92,Rh,0.232,15,0.000001,55.3,3,2987703.364
43,49,92,Tc,0.99,7,0.000001,56.34,2,700148.6672
34,58,92,Se,15.7,7,0.000001,67,,44149.50195
41,51,92,Nb,5.9,2,0.000001,90.37,9,117482.573
35,57,92,Br,0.089,-1,0.000001,106.3,5,7788170.568
35,57,92,Br,0.084,1,0.000001,778.8,5,8251752.15
35,57,92,Br,0.084,1,0.000001,898.3,5,8251752.15
35,57,92,Br,0.084,1,0.000001,1039.8,5,8251752.15
43,50,93,Tc,10.2,3,0.000001,0.31,2,67955.60594
43,50,93,Tc,10.2,3,0.000001,39.75,10,67955.60594
44,51,93,Ru,2.5,5,0.000001,146.3,10,277258.8722
34,59,93,Se,0.39,4,0.000001,208.3,5,1777300.463
34,59,93,Se,0.39,4,0.000001,469.9,5,1777300.463
43,50,93,Tc,10.2,3,0.000001,750.7,2,67955.60594
45,49,94,Rh,0.48,3,0.000001,54.6,2,1444056.626
35,59,94,Br,0.53,15,0.000001,92.1,5,1307824.869
46,48,94,Pd,0.509,7,0.000001,95.6,2,1361782.28
44,50,94,Ru,68,4,0.000001,146.1,2,10193.34089
44,50,94,Ru,102,17,0.000001,146.1,2,6795.560594
35,59,94,Br,0.53,15,0.000001,179,5,1307824.869
34,60,94,Se,0.68,5,0.000001,495.4,3,1019334.089
39,55,94,Y,1.3,1,0.000001,769.9,,533190.1389
39,55,94,Y,1.3,1,0.000001,1202.4,,533190.1389
36,59,95,Kr,1.579,22,0.000001,81.7,2,438978.5817
39,56,95,Y,48.6,5,0.000001,260.7,,14262.28767
39,56,95,Y,48.6,5,0.000001,401.8,,14262.28767
35,60,95,Br,6.7,2,0.000001,537.9,,103454.8031
37,59,96,Rb,1.77,6,0.000001,40,1,391608.5766
47,49,96,Ag,1.56,2,0.000001,43.7,2,444325.1157
47,49,96,Ag,0.136,20,0.000001,98,3,5096670.445
46,50,96,Pd,1.811,14,0.000001,106.37,17,382742.7833
35,61,96,Br,2.7,4,0.000001,311.5,5,256721.178
47,49,96,Ag,103,5,0.000001,485.7,3,6729.584277
47,49,96,Ag,103,5,0.000001,742.7,2,6729.584277
47,49,96,Ag,0.136,20,0.000001,4265,2,5096670.445
37,60,97,Rb,5.7,6,0.000001,76.6,2,121604.7685
37,61,98,Rb,0.358,7,0.000001,54.5,,1936165.309
48,50,98,Cd,0.223,5,0.000001,49.2,2,3108283.321
39,59,98,Y,6.9,5,0.000001,49.9,2,100456.1131
39,59,98,Y,0.62,1,0.000001,51.5,1,1117979.323
40,58,98,Zr,1.9,2,0.000001,63,1,364814.3056
47,51,98,Ag,0.161,7,0.000001,107.28,10,4305261.991
39,59,98,Y,0.78,3,0.000001,110.8,1,888650.2315
39,59,98,Y,6.9,5,0.000001,121.1,1,100456.1131
48,50,98,Cd,0.154,16,0.000001,147.2,1,4500955.718
39,59,98,Y,0.62,1,0.000001,170.8,1,1117979.323
37,61,98,Rb,0.358,7,0.000001,178.3,5,1936165.309
39,59,98,Y,0.45,15,0.000001,313.9,1,1540327.068
39,59,98,Y,6.9,5,0.000001,325.2,2,100456.1131
48,50,98,Cd,0.223,5,0.000001,4207,2,3108283.321
39,60,99,Y,8,5,0.000001,27.7,4,86643.39757
42,57,99,Mo,15.5,2,0.000001,97.785,3,44719.17294
39,60,99,Y,8,5,0.000001,272.9,10,86643.39757
39,60,99,Y,8,5,0.000001,546.2,3,86643.39757
39,60,99,Y,8,5,0.000001,882.5,3,86643.39757
39,60,99,Y,8,5,0.000001,1166,4,86643.39757
39,60,99,Y,8,5,0.000001,1435.5,4,86643.39757
41,59,100,Nb,12.4,3,0.000001,28,,55898.96617
43,57,100,Tc,8.32,14,0.000001,28.52,2,83310.9592
41,59,100,Nb,0.46,6,0.000001,34.3,,1506841.697
43,57,100,Tc,3.2,2,0.000001,43.2862,10,216608.4939
38,62,100,Sr,0.122,9,0.000001,58.3,2,5681534.267
38,62,100,Sr,0.122,9,0.000001,118,2,5681534.267
38,62,100,Sr,0.122,9,0.000001,204.4,3,5681534.267
38,62,100,Sr,0.122,9,0.000001,1201.7,2,5681534.267
43,58,101,Tc,636,8,0.000001,191.92,2,1089.854057
44,57,101,Ru,17.5,4,0.000001,220.7,1,39608.41032
43,61,104,Tc,0.4,2,0.000001,36.3,2,1732867.951
43,61,104,Tc,3.5,3,0.000001,69.7,2,198042.0516
48,57,105,Cd,4.5,5,0.000001,126.46,19,154032.7068
46,59,105,Pd,36.1,4,0.000001,182.89,4,19200.75292
41,65,106,Nb,0.82,6,0.000001,204.8,1,845301.4397
43,64,107,Tc,3.85,5,0.000001,30.1,1,180038.2287
46,61,107,Pd,0.85,10,0.000001,115.65,20,815467.2712
41,67,108,Nb,0.109,2,0.000001,89,5,6359148.446
41,67,108,Nb,0.109,2,0.000001,102.2,5,6359148.446
40,68,108,Zr,0.536,1,0.000001,277.9,5,1293185.038
40,68,108,Zr,0.536,1,0.000001,432.3,5,1293185.038
48,61,109,Cd,11.8,18,0.000001,59.6,2,58741.28649
42,67,109,Mo,0.194,27,0.000001,69.7,5,3572923.611
44,65,109,Ru,0.68,3,0.000001,96.2,2,1019334.089
45,64,109,Rh,1.66,4,0.000001,225.98,3,417558.5425
48,61,109,Cd,10.6,6,0.000001,259.7,1,65391.24345
50,61,111,Sn,12.5,10,0.000001,100.24,3,55451.77444
49,63,112,In,0.69,5,0.000001,187.93,3,1004561.131
49,63,112,In,2.81,3,0.000001,263.01,3,246671.5945
43,70,113,Tc,0.526,1,0.000001,114.4,5,1317770.305
54,59,113,Xe,6.9,3,0.000001,277.6,11,100456.1131
51,63,114,Sb,219,12,0.000001,321.6,,3165.055619
50,65,115,Sn,159,1,0.000001,100.7,21,4359.41623
50,65,115,Sn,3.26,8,0.000001,115.46,4,212621.8345
52,63,115,Te,7.5,2,0.000001,280.1,2,92419.62407
53,63,116,I,3.27,,0.000001,44.3,3,211971.6149
51,66,117,Sb,355,17,0.000001,58.1,1,1952.527269
44,73,117,Ru,2.487,3,0.000001,82.5,5?,278708.1546
44,73,117,Ru,2.487,3,0.000001,127.4,5,278708.1546
44,73,117,Ru,2.487,3,0.000001,184.6,5,278708.1546
50,67,117,Sn,1.75,7,0.000001,781,3,396084.1032
50,67,117,Sn,1.75,7,0.000001,813.4,3,396084.1032
47,71,118,Ag,0.1,,0.000001,45.8,1,6931471.806
51,67,118,Sb,20.6,6,0.000001,50.82,5,33647.92139
50,68,118,Sn,2.52,6,0.000001,55.9,2,275058.405
47,71,118,Ag,0.1,,0.000001,151.6,2,6931471.806
44,75,119,Ru,0.383,1,0.000001,90.8,5,1809783.761
50,69,119,Sn,0.039,3,0.000001,174.7,1,17773004.63
50,69,119,Sn,0.096,9,0.000001,241.7,2,7220283.131
50,69,119,Sn,9.6,12,0.000001,748,1,72202.83131
50,69,119,Sn,9.6,12,0.000001,818,1,72202.83131
45,75,120,Rh,0.294,1,0.000001,59.1,5?,2357643.471
50,70,120,Sn,6.26,11,0.000001,65.7,2,110726.3867
50,70,120,Sn,11.8,5,0.000001,197.37,2,58741.28649
46,75,121,Pd,0.46,-7,0.000001,135.5,5,1506841.697
53,68,121,I,9,14,0.000001,158.7,3,77016.3534
50,71,121,Sn,0.167,25,0.000001,175.4,2,4150581.92
50,71,121,Sn,0.52,5,0.000001,223.4,2,1332975.347
50,71,121,Sn,5.3,5,0.000001,752,,130782.4869
50,71,121,Sn,5.3,5,0.000001,841,,130782.4869
55,67,122,Cs,1,,0.000001,45.85,15,693147.1806
53,69,122,I,78.2,4,0.000001,51,3,8863.774687
51,71,122,Sb,1.86,8,0.000001,61.4127,5,372659.7745
45,77,122,Rh,0.82,2,0.000001,63.9,5?,845301.4397
53,69,122,I,79.1,12,0.000001,64.5,3,8762.922637
50,72,122,Sn,62,3,0.000001,75.2,5,11179.79323
50,72,122,Sn,7.5,9,0.000001,163.22,3,92419.62407
47,75,122,Ag,6.3,10,0.000001,91,,110023.362
50,73,123,Sn,7.4,26,0.000001,19,,93668.53791
49,74,123,In,1.4,2,0.000001,31.5,5,495105.129
56,67,123,Ba,0.83,6,0.000001,120.9,3,835117.085
51,72,123,Sb,65,1,0.000001,127.6,3,10663.80278
50,73,123,Sn,34,,0.000001,170,,20386.68178
50,73,123,Sn,6,,0.000001,208,,115524.5301
51,72,123,Sb,65,1,0.000001,375.7,,10663.80278
50,73,123,Sn,34,,0.000001,560,,20386.68178
50,73,123,Sn,7.4,26,0.000001,728,,93668.53791
50,73,123,Sn,7.4,26,0.000001,838,,93668.53791
54,69,123,Xe,5.7,3,0.000001,4.6,,121604.7685
51,73,124,Sb,3.2,3,0.000001,29.94,1,216608.4939
51,73,124,Sb,3.2,3,0.000001,40.8041,10,216608.4939
46,78,124,Pd,20,,0.000001,62.2,17,34657.35903
47,77,124,Ag,1.47,20,0.000001,75.5,5?,471528.6943
50,74,124,Sn,51,5,0.000001,78.2,5,13591.12119
50,74,124,Sn,0.27,6,0.000001,102.91,2,2567211.78
50,74,124,Sn,2.84,12,0.000001,120.38,3,244065.9086
47,77,124,Ag,0.14,5,0.000001,155.6,5?,4951051.29
50,74,124,Sn,0.27,6,0.000001,1072.88,2,2567211.78
54,71,125,Xe,0.14,3,0.000001,43.3,3,4951051.29
49,76,125,In,9.4,6,0.000001,56.3,,73739.06176
56,69,125,Ba,2.76,14,0.000001,67.6,5,251140.2828
47,78,125,Ag,0.491,20,0.000001,102.9,5,1411705.052
51,74,125,Sb,28.4,6,0.000001,140.9,3,24406.59086
50,75,125,Sn,0.23,2,0.000001,161.3,3,3013683.394
50,75,125,Sn,0.65,6,0.000001,166.8,2,1066380.278
54,71,125,Xe,0.14,3,0.000001,183.8,2,4951051.29
48,77,125,Cd,19,3,0.000001,742.2,5,36481.43056
47,78,125,Ag,0.491,20,0.000001,786.9,5,1411705.052
50,75,125,Sn,6.2,2,0.000001,805.5,2,111797.9323
51,74,125,Sb,4.1,2,0.000001,881.8,3,169060.2879
51,74,125,Sb,4.1,2,0.000001,904,3,169060.2879
50,75,125,Sn,6.2,2,0.000001,10,,111797.9323
55,71,126,Cs,1,,0.000001,31,,693147.1806
55,71,126,Cs,1,,0.000001,55,,693147.1806
50,76,126,Sn,6.1,8,0.000001,57.47,5,113630.6853
50,76,126,Sn,7.6,3,0.000001,76.3,5,91203.57639
46,80,126,Pd,0.44,3,0.000001,86.2,,1575334.501
55,71,126,Cs,171,14,0.000001,112,,4053.492284
55,71,126,Cs,171,14,0.000001,223,,4053.492284
49,77,126,In,22,2,0.000001,243.3,2,31506.69003
47,79,126,Ag,27,6,0.000001,254.8,5,25672.1178
46,80,126,Pd,0.33,4,0.000001,542.4,,2100446.002
46,80,126,Pd,0.33,4,0.000001,1330.2,,2100446.002
50,77,127,Sn,4.52,15,0.000001,16.52,11,153351.1461
58,69,127,Ce,10,,0.000001,29.56,5,69314.71806
49,78,127,In,9,2,0.000001,47,5,77016.3534
50,77,127,Sn,1.19,13,0.000001,104.3,6,582476.6223
50,77,127,Sn,0.25,3,0.000001,142,3,2772588.722
55,72,127,Cs,55,3,0.000001,179.3,20,12602.67601
55,72,127,Cs,55,3,0.000001,386.3,3,12602.67601
46,81,127,Pd,39,6,0.000001,422.4,1,17773.00463
50,77,127,Sn,4.52,15,0.000001,732.04,11,153351.1461
48,79,127,Cd,17.5,3,0.000001,738.8,2,39608.41032
51,76,127,Sb,11.7,1,0.000001,805.9,4,59243.34877
51,76,127,Sb,11.7,1,0.000001,824.7,4,59243.34877
48,79,127,Cd,17.5,3,0.000001,848.9,2,39608.41032
53,75,128,I,0.845,20,0.000001,4.24,5,820292.5214
53,75,128,I,0.845,20,0.000001,52.378,5,820292.5214
48,80,128,Cd,3.56,6,0.000001,68.7,1,194704.2642
46,82,128,Pd,5.8,8,0.000001,75.1,,119508.1346
50,78,128,Sn,2.91,15,0.000001,79.28,15,238194.9074
49,79,128,In,23,2,0.000001,247.92,10,30136.83394
50,79,129,Sn,3.4,13,0.000001,19.7,10,203866.8178
50,79,129,Sn,2.22,14,0.000001,41,2,312228.4597
51,78,129,Sb,0.91,6,0.000001,98.6,2,761700.1984
55,74,129,Cs,0.718,21,0.000001,149.1,3,965386.0453
49,80,129,In,10.9,1,0.000001,333.8,2,63591.48446
55,74,129,Cs,0.718,21,0.000001,366.1,2?,965386.0453
55,74,129,Cs,0.718,21,0.000001,386.6,3,965386.0453
55,74,129,Cs,0.718,21,0.000001,569.2,3,965386.0453
51,78,129,Sb,2.2,2,0.000001,699.64,6,315066.9003
51,78,129,Sb,2.2,2,0.000001,732.48,5,315066.9003
55,74,129,Cs,0.718,21,0.000001,354.8,,965386.0453
52,78,130,Te,1.9,8,0.000001,17.9,,364814.3056
51,79,130,Sb,1.25,1,0.000001,36.5,,554517.7444
51,79,130,Sb,0.8,1,0.000001,84.7,,866433.9757
50,80,130,Sn,1.502,17,0.000001,96.54,5,461482.81
57,73,130,La,0.76,9,0.000001,103.6,2,912035.7639
48,82,130,Cd,0.248,2,0.000001,138,5,2794948.309
51,79,130,Sb,0.6,15,0.000001,365.2,,1155245.301
49,81,130,In,4.3,6,0.000001,388.4,2,161197.0187
53,78,131,I,24,1,0.000001,33,,28881.13252
51,80,131,Sb,4.3,8,0.000001,11.2,,161197.0187
51,80,131,Sb,0.97,3,0.000001,96.4,,714584.7222
57,74,131,La,170,7,0.000001,108.9,3,4077.336356
53,78,131,I,24,1,0.000001,122,,28881.13252
51,80,131,Sb,64,3,0.000001,447.4,,10830.4247
51,80,131,Sb,64,3,0.000001,450.03,5,10830.4247
49,82,131,In,0.685,3,0.000001,3783.6,5,1011893.694
51,80,131,Sb,64,3,0.000001,1676,,10830.4247
52,80,132,Te,3.62,9,0.000001,22,1,191477.1217
59,73,132,Pr,2.46,4,0.000001,101.9,1,281767.1466
50,82,132,Sn,2.08,17,0.000001,132.5,,333243.8368
52,80,132,Te,28.5,9,0.000001,150.672,10,24320.9537
52,80,132,Te,3.62,9,0.000001,798,,191477.1217
54,80,134,Xe,5,1,0.000001,28,1,138629.4361
61,73,134,Pm,20,1,0.000001,70.7,-2,34657.35903
56,78,134,Ba,2.61,14,0.000001,121.3,3,265573.6324
52,83,135,Te,0.511,20,0.000001,50,1,1356452.408
59,76,135,Pr,105,10,0.000001,112.6,5,6601.40172
59,76,135,Pr,105,10,0.000001,316.6,1,6601.40172
61,75,136,Pm,1.5,1,0.000001,42.7,2,462098.1204
58,78,136,Ce,2,1,0.000001,105.7,5,346573.5903
54,82,136,Xe,2.92,3,0.000001,197.316,7,237379.1714
62,74,136,Sm,5,1,0.000001,465.9,,138629.4361
59,78,137,Pr,2.66,7,0.000001,331.3,2,260581.6468
59,78,137,Pr,2.66,7,0.000001,563.4,2,260581.6468
56,82,138,Ba,0.85,10,0.000001,191.95,2,815467.2712
64,74,138,Gd,6.2,2,0.000001,583.2,,111797.9323
57,81,138,La,2,3,0.000001,738.8,2,346573.5903
53,85,138,I,1.07,12,0.000001,67.9,,647801.1033
63,76,139,Eu,10,2,0.000001,26.7,2,69314.71806
58,82,140,Ce,7.3,15,0.000001,24.595,4,94951.66857
60,80,140,Nd,1.22,7,0.000001,36.8,,568153.4267
59,81,140,Pr,0.35,2,0.000001,98.5,3,1980420.516
60,80,140,Nd,1.22,7,0.000001,227.5,2,568153.4267
66,74,140,Dy,7,5,0.000001,573.8,2?,99021.02579
59,81,140,Pr,3.05,20,0.000001,635.9,3,227261.3707
60,80,140,Nd,1.22,7,0.000001,1028,5,568153.4267
61,80,141,Pm,2,,0.000001,44,2?,346573.5903
61,80,141,Pm,0.63,2,0.000001,431.6,1,1100233.62
61,80,141,Pm,0.63,2,0.000001,628.6,1,1100233.62
61,80,141,Pm,2,,0.000001,639,1,346573.5903
61,80,141,Pm,2,,0.000001,1020.3,3,346573.5903
65,77,142,Tb,26,1,0.000001,37.2,3,26659.50694
57,85,142,La,0.87,17,0.000001,68.3,1,796720.8972
60,82,142,Nd,18.6,37,0.000001,108.52,2,37265.97745
