Z,N,A,S,Th,uTh,mTh,E,uE,L
78,99,177,Pt,2.35,4,0.000001,147.4,4),294956.247
73,104,177,Ta,3.62,10,0.000001,186.2,2),191477.1217
71,106,177,Lu,6,2,0.000001,226.7,5),115524.5301
80,97,177,Hg,1.5,15,0.000001,246,,462098.1204
73,104,177,Ta,5.3,20,0.000001,311.3,3),130782.4869
71,106,177,Lu,6,2,0.000001,402.2,5),115524.5301
72,105,177,Hf,55.9,12,0.000001,548,,12399.77067
73,104,177,Ta,5.3,20,0.000001,549.9,3),130782.4869
71,106,177,Lu,155,7,0.000001,569.68,9),4471.917294
71,106,177,Lu,6,2,0.000001,618.7,5),115524.5301
71,106,177,Lu,6,2,0.000001,758.8,5),115524.5301
72,106,178,Hf,68,2,0.000001,126.1,3),10193.34089
72,106,178,Hf,68,2,0.000001,140.3,,10193.34089
72,106,178,Hf,68,2,0.000001,437,,10193.34089
73,106,179,Ta,1.42,8,0.000001,30.7,1),488131.8173
76,103,179,Os,0.5,,0.000001,45.2,1),1386294.361
75,104,179,Re,95,25,0.000001,65.35,9),7296.286111
73,106,179,Ta,1.6,4,0.000001,75.3,3),433216.9878
76,103,179,Os,0.783,14,0.000001,97.5,1),885245.4413
80,99,179,Hg,6.4,9,0.000001,110.8,3),108304.247
73,106,179,Ta,0.28,8,0.000001,281.69,16),2475525.645
72,107,179,Hf,15,5,0.000001,336,,46209.81204
75,105,180,Re,9,7,0.000001,62.9,,77016.3534
75,105,180,Re,9,7,0.000001,102.2,1),77016.3534
72,108,180,Hf,0.57,2,0.000001,113.66,2),1216047.685
73,107,180,Ta,31.2,1,0.000001,142.7,3),22216.25579
74,106,180,W,2.3,2,0.000001,222.3,3),301368.3394
72,108,180,Hf,0.94,11,0.000001,223.3,2),737390.6176
74,106,180,W,2.3,2,0.000001,298.4,,301368.3394
73,107,180,Ta,2,5,0.000001,369.8,,346573.5903
73,107,180,Ta,31.2,1,0.000001,431.6,2),22216.25579
75,105,180,Re,9,7,0.000001,456.8,6),77016.3534
74,106,180,W,2.3,2,0.000001,528,3),301368.3394
72,108,180,Hf,0.94,11,0.000001,539.5,3),737390.6176
74,106,180,W,2.3,2,0.000001,813.4,3),301368.3394
72,108,180,Hf,0.94,11,0.000001,832.4,15),737390.6176
72,108,180,Hf,0.57,2,0.000001,1065.77,5),1216047.685
72,108,180,Hf,0.94,11,0.000001,1101.1,7),737390.6176
72,108,180,Hf,0.57,2,0.000001,1281.7,2),1216047.685
73,108,181,Ta,6.05,12,0.000001,6.24,20),114569.7819
72,109,181,Hf,100,,0.000001,115.3,,6931.471806
72,109,181,Hf,80,5,0.000001,129.36,4),8664.339757
73,108,181,Ta,210,20,0.000001,130,,3300.70086
73,108,181,Ta,18.5,4,0.000001,133.027,18),37467.41517
72,109,181,Hf,80,5,0.000001,154.56,3),8664.339757
73,108,181,Ta,25,2,0.000001,177,,27725.88722
75,106,181,Re,11.5,9,0.000001,224.25,12),60273.66787
74,107,181,W,14.6,2,0.000001,252.2,3),47475.83428
72,109,181,Hf,100,,0.000001,284.9,,6931.471806
72,109,181,Hf,80,5,0.000001,291.39,1),8664.339757
73,108,181,Ta,210,20,0.000001,295,,3300.70086
75,106,181,Re,1.2,2,0.000001,356.6,1),577622.6505
74,107,181,W,14.6,2,0.000001,365.5,3),47475.83428
72,109,181,Hf,80,5,0.000001,391.19,12),8664.339757
73,108,181,Ta,25,2,0.000001,455.3,,27725.88722
73,108,181,Ta,18.5,4,0.000001,615.17,11),37467.41517
73,108,181,Ta,25,2,0.000001,710.6,,27725.88722
72,110,182,Hf,40,10,0.000001,264,,17328.67951
75,107,182,Re,0.78,9,0.000001,461.3,1),888650.2315
74,108,182,W,1.3,1,0.000001,518.5,1),533190.1389
74,108,182,W,1.3,1,0.000001,1086.5,1),533190.1389
79,104,183,Au,1,,0.000001,60.5,3),693147.1806
81,102,183,Tl,1.48,10,0.000001,69.3,5),468342.6896
81,102,183,Tl,1.48,10,0.000001,346.8,3),468342.6896
74,110,184,W,8.33,18,0.000001,63.689,14),83210.94605
74,110,184,W,8.33,18,0.000001,151.134,20),83210.94605
77,107,184,Ir,470,30,0.000001,154.8,1),1474.781235
77,107,184,Ir,470,30,0.000001,225.8,1),1474.781235
74,110,184,W,8.33,18,0.000001,381.82,14),83210.94605
74,110,184,W,8.33,18,0.000001,536.674,15),83210.94605
74,110,184,W,8.33,18,0.000001,920.933,21),83210.94605
74,110,184,W,8.33,18,0.000001,1173.77,3),83210.94605
76,109,185,Os,3,4,0.000001,64.9,,231049.0602
76,109,185,Os,0.78,5,0.000001,15.2,,888650.2315
76,109,185,Os,3,4,0.000001,4.9,,231049.0602
73,112,185,Ta,0.9,3,0.000001,406,,770163.534
80,106,186,Hg,82,5,0.000001,31.6,,8453.014397
74,112,186,W,18,1,0.000001,119,,38508.1767
74,112,186,W,18,1,0.000001,195,,38508.1767
80,106,186,Hg,82,5,0.000001,241.5,,8453.014397
80,106,186,Hg,82,5,0.000001,628.1,,8453.014397
74,112,186,W,18,1,0.000001,708,,38508.1767
74,113,187,W,1.38,7,0.000001,45.8,3),502280.5656
77,110,187,Ir,1.8,5,0.000001,109.8,,385081.767
78,109,187,Pt,311,15,0.000001,117.2,4),2228.769069
76,111,187,Os,231,2,0.000001,156.63,7),3000.637145
83,104,187,Bi,3.2,56,0.000001,252,,216608.4939
82,105,187,Pb,5.15,15,0.000001,307.9,1),134591.6855
81,106,187,Tl,0.69,4,0.000001,478.2,2),1004561.131
82,106,188,Pb,0.44,6,0.000001,217.8,3),1575334.501
73,115,188,Ta,3.5,4,0.000001,291.9,5),198042.0516
78,111,189,Pt,143,5,0.000001,18.7,9),4847.183081
75,114,189,Re,223,14,0.000001,78,,3108.283321
82,107,189,Pb,22.2,55,0.000001,193.9,3),31222.84597
82,107,189,Pb,22.2,55,0.000001,336.7,1),31222.84597
82,107,189,Pb,22.2,55,0.000001,609.3,3),31222.84597
77,113,190,Ir,2,,0.000001,36.155,25),346573.5903
82,108,190,Pb,7.2,6,0.000001,43.2,,96270.44174
74,116,190,W,166,6,0.000001,97,,4175.585425
83,107,190,Bi,1,+10â€“5,0.000001,274,5),693147.1806
82,108,190,Pb,7.2,6,0.000001,382,,96270.44174
82,108,190,Pb,7.2,6,0.000001,406.5,,96270.44174
78,113,191,Pt,95,5,0.000001,48.37,1),7296.286111
74,117,191,W,0.34,2,0.000001,67.5,5),2038668.178
78,113,191,Pt,1,,0.000001,91.11,2),693147.1806
75,116,191,Re,50.6,35,0.000001,93.8,,13698.56088
82,109,191,Pb,0.15,5,0.000001,106.85,15),4620981.204
75,116,191,Re,50.6,35,0.000001,115.9,,13698.56088
74,117,191,W,0.34,2,0.000001,167.4,5),2038668.178
82,110,192,Pb,1.09,4,0.000001,44,10),635914.8446
82,110,192,Pb,0.756,14,0.000001,120.6,,916861.3499
84,108,192,Po,0.58,10,0.000001,153.9,3),1195081.346
75,117,192,Re,85,10,0.000001,159.3,5),8154.672712
82,110,192,Pb,0.756,14,0.000001,162.5,3),916861.3499
82,110,192,Pb,0.756,14,0.000001,229,,916861.3499
82,110,192,Pb,0.756,14,0.000001,439.7,3),916861.3499
76,116,192,Os,0.19,10,0.000001,446,,3648143.056
84,108,192,Po,0.58,10,0.000001,733.1,4),1195081.346
83,110,193,Bi,3.02,8,0.000001,48.8,6),229518.934
83,110,193,Bi,85,3,0.000001,84,6),8154.672712
75,118,193,Re,69,8,0.000001,146.1,3),10045.61131
77,116,193,Ir,124.8,21,0.000001,226.7,5),5554.063947
77,116,193,Ir,124.8,21,0.000001,334.5,5),5554.063947
77,116,193,Ir,124.8,21,0.000001,385,5),5554.063947
84,110,194,Po,12.9,5,0.000001,33,,53732.33958
84,110,194,Po,12.9,5,0.000001,248,1),53732.33958
82,113,195,Pb,10,7,0.000001,5.1,,69314.71806
83,112,195,Bi,0.614,5,0.000001,46,6),1128904.203
83,112,195,Bi,1.49,10,0.000001,235.8,4),465199.45
83,112,195,Bi,1.6,1,0.000001,238,4),433216.9878
77,118,195,Ir,4.4,6,0.000001,268.4,5),157533.4501
83,112,195,Bi,1.49,10,0.000001,457.1,4),465199.45
82,113,195,Pb,10,7,0.000001,586.5,2),69314.71806
85,111,196,At,11,2,0.000001,157.9,1),63013.38005
82,115,197,Pb,1.15,20,0.000001,32.4,1),602736.6787
82,115,197,Pb,1.15,20,0.000001,57.35,10),602736.6787
85,112,197,At,1.3,2,0.000001,310.7,2),533190.1389
82,115,197,Pb,1.15,20,0.000001,589,2),602736.6787
82,116,198,Pb,4.19,10,0.000001,317.9,2),165428.9214
82,117,199,Pb,10.1,2,0.000001,59.1,3),68628.43372
85,114,199,At,0.8,5,0.000001,162.9,2),866433.9757
80,121,201,Hg,94,2,0.000001,218.9,1),7373.906176
85,116,201,At,3.39,9,0.000001,269,,204468.1949
85,116,201,At,3.39,9,0.000001,339,,204468.1949
81,121,202,Tl,215,10,0.000001,286,,3223.940375
81,121,202,Tl,591,3,0.000001,459.72,7),1172.837869
78,124,202,Pt,141,7,0.000001,534.9,2),4915.937451
81,122,203,Tl,6.9,5,0.000001,5.7,5),100456.1131
79,124,203,Au,140,44,0.000001,78,3),4951.05129
77,126,203,Ir,0.8,35,0.000001,207,5),866433.9757
85,118,203,At,9.77,21,0.000001,285.8,2),70946.48726
81,122,203,Tl,6.9,5,0.000001,333.7,3),100456.1131
80,123,203,Hg,21.9,10,0.000001,341,5),31650.55619
85,118,203,At,9.77,21,0.000001,365.8,2),70946.48726
87,116,203,Fr,0.37,5,0.000001,426,1),1873370.758
82,122,204,Pb,0.45,7,0.000001,6.26,3),1540327.068
82,122,204,Pb,0.45,7,0.000001,78.54,8),1540327.068
81,123,204,Tl,2.6,2,0.000001,668.9,1),266595.0694
81,123,204,Tl,61.7,12,0.000001,690.1,1),11234.15204
79,125,204,Au,2.1,3,0.000001,976.6,5),330070.086
82,122,204,Pb,0.45,7,0.000001,990.4,2),1540327.068
78,126,204,Pt,5.5,7,0.000001,1123,1),126026.7601
83,122,205,Bi,7.9,7,0.000001,10.6,,87740.14944
82,123,205,Pb,24.2,4,0.000001,2.328,7),28642.44548
83,122,205,Bi,7.9,7,0.000001,24.9,2),87740.14944
85,120,205,At,7.76,14,0.000001,277.1,1),89323.09028
85,120,205,At,7.76,14,0.000001,403.6,1),89323.09028
83,122,205,Bi,7.9,7,0.000001,495.9,2),87740.14944
83,122,205,Bi,7.9,7,0.000001,624.8,1),87740.14944
80,125,205,Hg,5.89,18,0.000001,722.6,5),117682.0341
81,124,205,Tl,2.6,2,0.000001,739.16,10),266595.0694
80,125,205,Hg,5.89,18,0.000001,950.2,5),117682.0341
83,123,206,Bi,7.7,2,0.000001,59.908,18),90019.11436
84,122,206,Po,1.05,6,0.000001,61.766,19),660140.172
82,124,206,Pb,125,2,0.000001,202.44,3),5545.177444
82,124,206,Pb,125,2,0.000001,516.18,4),5545.177444
84,122,206,Po,1.05,6,0.000001,676.4,2),660140.172
83,123,206,Bi,27,2,0.000001,937.2,1),25672.1178
80,126,206,Hg,2.09,2,0.000001,1034.2,2),331649.3687
86,121,207,Rn,184.5,9,0.000001,234,1),3756.895288
84,123,207,Po,49,4,0.000001,300.648,13),14145.86083
83,124,207,Bi,182,6,0.000001,456.1,1),3808.500992
83,124,207,Bi,182,6,0.000001,743.3,15),3808.500992
81,127,208,Tl,1.3,1,0.000001,220.7,2),533190.1389
85,123,208,At,1.5,2,0.000001,472.2,,462098.1204
85,123,208,At,1.5,2,0.000001,750.9,,462098.1204
81,127,208,Tl,1.3,1,0.000001,1314,3),533190.1389
88,121,209,Ra,117,5,0.000001,238.4,5),5924.334877
86,123,209,Rn,13.4,13,0.000001,376.2,1),51727.40153
86,123,209,Rn,3,3,0.000001,479.3,1),231049.0602
85,124,209,At,0.893,32,0.000001,577.6,10),776200.6501
80,130,210,Hg,2.1,7,0.000001,20,,330070.086
88,122,210,Ra,2.1,1,0.000001,95.7,5),330070.086
85,125,210,At,5.66,7,0.000001,372.3,,122464.1662
86,124,210,Rn,1.04,7,0.000001,433,1),666487.6736
85,125,210,At,5.66,7,0.000001,485.2,,122464.1662
86,124,210,Rn,1.06,5,0.000001,564.3,1),653912.4345
86,124,210,Rn,1.04,7,0.000001,602.7,1),666487.6736
85,125,210,At,5.66,7,0.000001,611.8,,122464.1662
80,130,210,Hg,2.1,7,0.000001,663,,330070.086
85,125,210,At,5.66,7,0.000001,920.4,,122464.1662
83,128,211,Bi,1.4,3,0.000001,30,,495105.129
81,130,211,Tl,0.58,8,0.000001,144,1),1195081.346
88,123,211,Ra,9.4,4,0.000001,396.1,6),73739.06176
85,126,211,At,4.23,7,0.000001,435.2,2),163864.5817
84,127,211,Po,2.8,7,0.000001,508.6,5),247552.5645
88,124,212,Ra,0.85,13,0.000001,36.1,,815467.2712
86,126,212,Rn,0.91,3,0.000001,54.2,3),761700.1984
88,124,212,Ra,9.3,9,0.000001,63.3,20),74531.9549
87,125,212,Fr,23.6,21,0.000001,126,,29370.64324
87,125,212,Fr,31.9,7,0.000001,162,1),21728.75174
85,127,212,At,152,5,0.000001,224.2,,4560.178819
87,125,212,Fr,23.6,21,0.000001,278,,29370.64324
88,124,212,Ra,0.85,13,0.000001,504.9,2),815467.2712
88,124,212,Ra,0.85,13,0.000001,654.9,2),815467.2712
85,127,212,At,152,5,0.000001,1265.4,,4560.178819
86,127,213,Rn,1.36,7,0.000001,65.1,,509667.0445
82,131,213,Pb,0.26,2,0.000001,71,,2665950.694
87,126,213,Fr,3.1,2,0.000001,111.3,2),223595.8647
82,131,213,Pb,0.26,2,0.000001,190,,2665950.694
85,128,213,At,45,4,0.000001,306,,15403.27068
86,127,213,Rn,1.36,7,0.000001,330.1,,509667.0445
87,126,213,Fr,3.1,2,0.000001,371.2,2),223595.8647
81,132,213,Tl,4.1,5,0.000001,380,1),169060.2879
90,123,213,Th,8.3,82,0.000001,381,1),83511.7085
86,127,213,Rn,1.36,7,0.000001,522.7,,509667.0445
81,132,213,Tl,0.6,3,0.000001,698,1),1155245.301
90,124,214,Th,1.21,12,0.000001,89,2),572848.9096
88,127,215,Ra,1.39,7,0.000001,32.5,,498667.0364
88,127,215,Ra,7.29,20,0.000001,56.5,2),95081.91777
88,127,215,Ra,1.39,7,0.000001,193.1,2),498667.0364
88,127,215,Ra,1.39,7,0.000001,369.1,2),498667.0364
90,126,216,Th,0.74,7,0.000001,151.2,6),936685.3791
90,126,216,Th,0.58,3,0.000001,516.3,2),1195081.346
90,126,216,Th,0.58,3,0.000001,606.8,1),1195081.346
90,139,229,Th,7,10,0.000001,0.00812,11),99021.02579
88,143,231,Ra,53,,0.000001,66.2,1),13078.24869
92,142,234,U,33.5,20,0.000001,143.78,2),20690.96061
92,142,234,U,33.5,20,0.000001,159.48,2),20690.96061
92,142,234,U,33.5,20,0.000001,226.5,3),20690.96061
92,142,234,U,33.5,20,0.000001,249.22,1),20690.96061
92,142,234,U,33.5,20,0.000001,293.79,5),20690.96061
92,142,234,U,33.5,20,0.000001,295.91,8),20690.96061
92,142,234,U,33.5,20,0.000001,330.4,5),20690.96061
92,142,234,U,33.5,20,0.000001,351.9,1),20690.96061
92,142,234,U,33.5,20,0.000001,397.7,3),20690.96061
92,142,234,U,33.5,20,0.000001,458.68,5),20690.96061
92,142,234,U,33.5,20,0.000001,1125.2,1),20690.96061
92,142,234,U,33.5,20,0.000001,1277.7,2),20690.96061
94,142,236,Pu,1.2,3,0.000001,319.5,11),577622.6505
94,142,236,Pu,1.2,3,0.000001,879.7,2),577622.6505
94,142,236,Pu,1.2,3,0.000001,1037.8,2),577622.6505
93,144,237,Np,0.71,4,0.000001,640.4,3),976263.6346
93,144,237,Np,0.71,4,0.000001,675.6,4),976263.6346
93,144,237,Np,0.71,4,0.000001,719.2,2),976263.6346
93,144,237,Np,0.71,4,0.000001,753.6,2),976263.6346
93,144,237,Np,0.71,4,0.000001,786.8,2),976263.6346
93,144,237,Np,0.71,4,0.000001,815.3,2),976263.6346
92,147,239,U,0.78,4,0.000001,133.799,1),888650.2315
94,147,241,Pu,0.88,5,0.000001,161.685,1),787667.2506
96,147,243,Cm,1.08,3,0.000001,87.4,1),641802.945
94,149,243,Pu,0.33,3,0.000001,96.2,2),2100446.002
94,151,245,Pu,0.33,2,0.000001,0.47,,2100446.002
96,149,245,Cm,0.29,2,0.000001,103.1,1),2390162.692
96,151,247,Cm,26.3,3,0.000001,165.7,5),26355.4061
96,151,247,Cm,26.3,3,0.000001,227.38,2),26355.4061
98,151,249,Cf,45,5,0.000001,144.99,6),15403.27068
97,153,250,Bk,29,1,0.000001,1.12,,23901.62692
97,153,250,Bk,213,8,0.000001,6.1,,3254.212115
97,153,250,Bk,29,1,0.000001,35.59,,23901.62692
97,154,251,Bk,58,4,0.000001,35.5,,11950.81346
98,153,251,Cf,1.3,1,0.000001,45.2,1),533190.1389
98,153,251,Cf,1.3,1,0.000001,131.13,5),533190.1389
100,151,251,Fm,23,11,0.000001,200,1),30136.83394
98,153,251,Cf,1.3,1,0.000001,204.17,2),533190.1389
98,153,251,Cf,1.3,1,0.000001,264.15,3),533190.1389
100,153,253,Fm,0.56,6,0.000001,76.8,,1237762.822
100,153,253,Fm,0.56,6,0.000001,150.5,5),1237762.822
102,151,253,No,30.3,21,0.000001,167.5,5),22876.14457
102,152,254,No,184,2,0.000001,133.4,4),3767.104242
102,152,254,No,184,2,0.000001,312.4,4),3767.104242
102,153,255,No,109,9,0.000001,25,,6359.148446
102,153,255,No,1.2,2,0.000001,355,,577622.6505
102,153,255,No,77,6,0.000001,657,,9001.911436
104,153,257,Rf,106,6,0.000001,295.6,7),6539.124345
104,153,257,Rf,106,6,0.000001,446.8,7),6539.124345
104,153,257,Rf,106,6,0.000001,586.1,13),6539.124345